Position station (m),"Heure (hh,hh)", Lecture (mGal),Altitude (m)
0,7.5,1.092,120
25,7.6,0.712,122
50,7.7,0.33,124
75,7.8,0.188,125
100,7.9,-0.674,129
125,8,-0.819,130
150,8.1,-0.009,127
175,8.2,0.318,126
200,8.3,1.119,123
225,8.4,1.67,121
250,8.5,1.963,120
275,8.6,2.217,119
300,8.7,2.384,118
325,8.8,2.627,116
350,8.9,2.679,115
375,9,3.544,113
400,9.1,4.218,112
425,9.2,4.729,111
450,9.3,4.675,112
475,9.4,4.82,112
500,9.5,4.708,113
525,9.6,4.347,115
550,9.7,4.219,116
575,9.8,4.087,117
600,9.9,4.671,115
625,10,4.536,116
650,10.1,4.4,117
675,10.2,4.024,119
700,10.3,3.648,121
725,10.4,3.51,122
0,10.5,1.203,120
