# Position (m), Gravite (mGal)
0.000000000000000000e+00,1.109586647809622939e-05
5.000000000000000000e+02,4.046435199001424091e-05
1.000000000000000000e+03,1.017372015483230362e-05
1.500000000000000000e+03,6.256435112613056436e-06
2.000000000000000000e+03,3.863138804710873142e-05
2.500000000000000000e+03,3.042161019656312398e-05
3.000000000000000000e+03,5.925056306570689729e-05
3.500000000000000000e+03,5.031802435749232962e-05
4.000000000000000000e+03,7.306315281378923925e-05
4.500000000000000000e+03,8.578442215843962528e-05
5.000000000000000000e+03,1.125016924178872540e-04
5.500000000000000000e+03,1.975148651022498255e-04
6.000000000000000000e+03,3.022427654209374447e-04
6.500000000000000000e+03,4.323241763097806752e-04
7.000000000000000000e+03,5.696275772482326796e-04
7.500000000000000000e+03,5.925210082753549438e-04
8.000000000000000000e+03,5.543797391258257828e-04
8.500000000000000000e+03,4.249970454190805892e-04
9.000000000000000000e+03,2.922769908834031119e-04
9.500000000000000000e+03,2.020304315698684535e-04
1.000000000000000000e+04,1.266586371293811335e-04
1.050000000000000000e+04,6.871022042061585293e-05
1.100000000000000000e+04,3.062397028622816208e-05
1.150000000000000000e+04,3.212103088678569594e-05
1.200000000000000000e+04,8.918132392519773278e-06
1.250000000000000000e+04,-2.213229724968349325e-06
1.300000000000000000e+04,2.643504947587454898e-05
1.350000000000000000e+04,1.012640208499602147e-05
1.400000000000000000e+04,-8.334189619241034561e-06
1.450000000000000000e+04,-2.581223447556063732e-05
1.500000000000000000e+04,-2.990651044785951586e-05
1.550000000000000000e+04,-3.307476596239686424e-05
1.600000000000000000e+04,-3.220530043065989020e-05
1.650000000000000000e+04,-3.754360633987331237e-05
1.700000000000000000e+04,-7.335892741074962083e-05
1.750000000000000000e+04,-1.189220059793690833e-04
1.800000000000000000e+04,-1.484928043232216469e-04
1.850000000000000000e+04,-2.314014343639460996e-04
1.900000000000000000e+04,-3.089107587548615887e-04
1.950000000000000000e+04,-3.462768925952699030e-04
2.000000000000000000e+04,-3.885656985660241496e-04
2.050000000000000000e+04,-3.785428954082690101e-04
2.100000000000000000e+04,-2.978714555153320594e-04
2.150000000000000000e+04,-2.391307109543989995e-04
2.200000000000000000e+04,-1.884678582209808233e-04
2.250000000000000000e+04,-1.368316226563553951e-04
2.300000000000000000e+04,-1.000369921127517364e-04
2.350000000000000000e+04,-7.074336660421499956e-05
2.400000000000000000e+04,-4.237520299651932002e-05
2.450000000000000000e+04,-4.759833281999614567e-05
2.500000000000000000e+04,-4.394551763567038441e-05
2.550000000000000000e+04,-1.983428670224665369e-05
2.600000000000000000e+04,-6.022713178284461725e-05
2.650000000000000000e+04,-4.959252507297095836e-05
2.700000000000000000e+04,-5.790427331719695233e-05
2.750000000000000000e+04,-5.578537612901542754e-05
2.800000000000000000e+04,-6.524365508663878231e-05
2.850000000000000000e+04,-6.919220918112273830e-05
2.900000000000000000e+04,-8.054995911582313014e-05
2.950000000000000000e+04,-7.361528767199117381e-05
3.000000000000000000e+04,-8.144228749355837574e-05
3.050000000000000000e+04,-9.669110066533538790e-05
3.100000000000000000e+04,-1.300416117928634237e-04
3.150000000000000000e+04,-1.210757264280302255e-04
3.200000000000000000e+04,-1.736250237140766605e-04
3.250000000000000000e+04,-2.232313153060449227e-04
3.300000000000000000e+04,-2.749533517732516766e-04
3.350000000000000000e+04,-3.573496362608051882e-04
3.400000000000000000e+04,-4.386909391755944884e-04
3.450000000000000000e+04,-4.856119519470674479e-04
3.500000000000000000e+04,-5.345887048826331771e-04
3.550000000000000000e+04,-4.940720969556952310e-04
3.600000000000000000e+04,-4.283339940145581442e-04
3.650000000000000000e+04,-3.560108089500444578e-04
3.700000000000000000e+04,-3.038240119005778642e-04
3.750000000000000000e+04,-2.259037028057418620e-04
3.800000000000000000e+04,-1.784507458417091135e-04
3.850000000000000000e+04,-1.407298810596773375e-04
3.900000000000000000e+04,-1.117283053260820154e-04
3.950000000000000000e+04,-1.113025140999629985e-04
4.000000000000000000e+04,-8.691449787820952752e-05
4.050000000000000000e+04,-6.505280346005835911e-05
4.100000000000000000e+04,-6.089028686763566553e-05
4.150000000000000000e+04,-5.812392125755361358e-05
4.200000000000000000e+04,-5.342738772630894681e-05
4.250000000000000000e+04,-2.886893905775024288e-05
4.300000000000000000e+04,-5.142265671555229642e-05
4.350000000000000000e+04,-2.554098638028966500e-05
4.400000000000000000e+04,-1.545337847905154841e-05
4.450000000000000000e+04,-4.327028630342421667e-05
4.500000000000000000e+04,-1.551839172699428644e-05
4.550000000000000000e+04,-3.232185174397433908e-05
4.600000000000000000e+04,-2.674160101200559526e-05
4.650000000000000000e+04,-2.578524805609577305e-05
4.700000000000000000e+04,-8.930282391949045403e-06
4.750000000000000000e+04,-4.339547988164138266e-05
4.800000000000000000e+04,-1.044891877255259322e-05
4.850000000000000000e+04,-1.151935920784877458e-06
4.900000000000000000e+04,-5.946756378317021897e-06
4.950000000000000000e+04,4.807951778516946485e-06
